user_id,age,gender,primary_platform,daily_usage_hours,anxiety_score,depression_score,loneliness_score,sleep_quality_score,sleep_hours,mental_wellbeing_score,addiction_level,age_group,sleep_hours_group,addiction_level_tier,loneliness_group
USR00017,41,Non-binary,Instagram,2.4,10.0,0.4,3.7,5.4,5.3,6.6,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00018,23,Female,YouTube,5.1,7.9,9.7,4.1,3.4,7.7,6.0,High,18-25,6-8 jam,3,Kesepian Ringan
USR00019,22,Non-binary,Twitter/X,3.4,2.7,5.6,4.5,3.1,5.2,6.4,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00020,21,Female,Facebook,4.3,5.1,1.2,6.5,6.4,6.7,5.6,High,18-25,6-8 jam,3,Kesepian Sedang
USR00021,19,Female,Facebook,3.7,4.4,3.6,7.3,6.1,5.2,9.3,Low,18-25,<6 jam,1,Kesepian Sedang
USR00022,31,Female,Instagram,2.9,4.2,2.0,6.3,6.1,4.8,6.7,Low,26-35,<6 jam,1,Kesepian Sedang
USR00023,22,Male,Instagram,8.7,4.9,5.8,4.7,5.2,5.9,5.1,Severe,18-25,<6 jam,4,Kesepian Ringan
USR00024,27,Female,Snapchat,5.1,4.3,3.5,4.9,8.9,9.1,7.5,Low,26-35,>8 jam,1,Kesepian Ringan
USR00025,15,Male,TikTok,6.0,2.8,2.0,1.6,5.8,8.3,6.5,Moderate,<18,>8 jam,2,Tidak Kesepian
USR00026,26,Male,Instagram,10.4,4.7,6.2,3.2,3.7,5.1,5.8,High,26-35,<6 jam,3,Kesepian Ringan
USR00027,38,Female,YouTube,4.4,0.0,0.8,1.4,4.9,6.0,6.9,High,36-45,<6 jam,3,Tidak Kesepian
USR00028,41,Male,TikTok,3.0,5.2,3.1,4.9,6.3,7.6,8.5,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00029,21,Non-binary,Instagram,0.8,5.5,3.7,5.1,7.7,6.7,4.6,Severe,18-25,6-8 jam,4,Kesepian Sedang
USR00030,34,Female,TikTok,1.4,8.4,4.2,5.4,6.0,6.9,7.6,Low,26-35,6-8 jam,1,Kesepian Sedang
USR00031,43,Male,Twitter/X,1.4,6.2,2.7,1.9,6.0,8.2,5.8,High,36-45,>8 jam,3,Tidak Kesepian
USR00032,27,Male,TikTok,1.5,5.8,3.8,4.0,4.6,7.5,5.6,High,26-35,6-8 jam,3,Kesepian Ringan
USR00033,20,Male,Facebook,0.5,7.1,2.3,5.6,5.9,8.6,5.8,Moderate,18-25,>8 jam,2,Kesepian Sedang
USR00034,39,Female,Instagram,4.6,0.6,3.3,3.4,7.1,5.3,5.8,High,36-45,<6 jam,3,Kesepian Ringan
USR00035,39,Female,Twitter/X,4.3,4.2,5.6,3.1,3.0,5.3,7.7,Low,36-45,<6 jam,1,Kesepian Ringan
USR00036,38,Male,Instagram,8.2,6.8,3.7,4.2,8.1,4.8,6.2,High,36-45,<6 jam,3,Kesepian Ringan
USR00037,36,Female,Snapchat,1.3,9.6,5.8,6.4,7.2,6.7,3.5,Severe,36-45,6-8 jam,4,Kesepian Sedang
USR00038,31,Non-binary,Instagram,6.7,4.0,3.5,5.8,3.8,7.9,5.4,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00039,42,Male,Instagram,0.5,5.0,2.0,5.2,5.4,6.6,7.7,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00040,44,Non-binary,Instagram,7.3,8.4,5.4,5.6,6.6,4.2,4.3,Severe,36-45,<6 jam,4,Kesepian Sedang
USR00041,15,Female,Facebook,5.1,3.7,1.4,5.9,7.4,8.7,8.0,Low,<18,>8 jam,1,Kesepian Sedang
USR00042,17,Female,TikTok,2.4,3.1,2.3,7.1,8.1,7.5,6.6,Moderate,<18,6-8 jam,2,Kesepian Sedang
USR00043,39,Female,TikTok,7.2,3.2,3.2,1.2,6.8,6.4,6.6,Moderate,36-45,6-8 jam,2,Tidak Kesepian
USR00044,24,Male,Instagram,4.9,6.7,3.4,0.1,6.2,6.8,5.5,High,18-25,6-8 jam,3,Tidak Kesepian
USR00045,29,Female,TikTok,5.8,4.3,6.3,6.6,6.8,7.2,6.1,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00046,21,Female,Facebook,4.6,4.5,4.2,5.9,1.0,4.5,6.9,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00047,19,Male,Twitter/X,7.0,3.1,3.9,4.3,10.0,5.0,8.2,Low,18-25,<6 jam,1,Kesepian Ringan
USR00048,29,Male,TikTok,5.5,1.7,1.2,3.6,3.3,5.3,7.1,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00049,24,Male,Instagram,4.1,5.9,3.8,4.6,6.7,6.5,6.7,Moderate,18-25,6-8 jam,2,Kesepian Ringan
USR00050,38,Male,Instagram,2.6,1.5,6.7,0.1,6.4,9.7,5.5,High,36-45,>8 jam,3,Tidak Kesepian
USR00051,18,Male,TikTok,2.7,0.4,6.7,1.6,6.0,8.0,6.6,Moderate,<18,6-8 jam,2,Tidak Kesepian
USR00052,18,Female,TikTok,6.2,5.3,0.0,5.8,7.7,6.7,6.6,Moderate,<18,6-8 jam,2,Kesepian Sedang
USR00053,23,Female,YouTube,5.8,8.3,10.0,4.9,7.6,3.3,3.0,Severe,18-25,<6 jam,4,Kesepian Ringan
USR00054,34,Female,YouTube,5.1,3.5,1.1,4.0,3.7,5.4,7.1,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00055,31,Male,Instagram,4.0,1.8,2.5,3.5,6.3,9.5,7.3,Moderate,26-35,>8 jam,2,Kesepian Ringan
USR00056,16,Male,TikTok,3.3,4.9,2.5,4.8,7.4,6.5,7.1,Moderate,<18,6-8 jam,2,Kesepian Ringan
USR00057,15,Female,Twitter/X,5.3,3.1,3.1,3.5,4.6,5.8,5.4,High,<18,<6 jam,3,Kesepian Ringan
USR00058,31,Female,Instagram,6.3,6.5,3.7,4.8,5.0,6.9,4.0,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00059,37,Male,TikTok,6.2,5.0,2.9,6.2,3.9,6.2,5.8,High,36-45,6-8 jam,3,Kesepian Sedang
USR00060,44,Male,Instagram,8.1,6.6,3.7,6.2,6.1,7.8,6.1,High,36-45,6-8 jam,3,Kesepian Sedang
USR00061,27,Female,Facebook,8.3,3.0,4.5,5.2,6.3,5.4,6.0,High,26-35,<6 jam,3,Kesepian Sedang
USR00062,43,Non-binary,TikTok,3.7,8.2,3.8,2.0,5.5,7.2,5.3,High,36-45,6-8 jam,3,Tidak Kesepian
USR00063,43,Male,Twitter/X,10.0,4.9,1.4,4.0,3.2,7.6,6.9,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00064,22,Male,Twitter/X,7.8,5.3,7.5,2.3,3.6,7.8,7.4,Moderate,18-25,6-8 jam,2,Tidak Kesepian
USR00065,38,Female,Facebook,5.2,5.7,2.0,4.2,4.7,7.2,3.7,Severe,36-45,6-8 jam,4,Kesepian Ringan
USR00066,25,Male,Instagram,5.3,0.3,6.3,8.3,5.0,6.3,4.9,Severe,18-25,6-8 jam,4,Sangat Kesepian
USR00067,24,Female,Twitter/X,5.7,7.7,7.1,4.9,5.3,5.6,6.4,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00068,18,Non-binary,Twitter/X,3.4,4.8,3.0,7.0,4.1,6.1,6.0,Moderate,<18,6-8 jam,2,Kesepian Sedang
USR00069,15,Male,Instagram,3.1,3.4,6.3,5.7,6.2,7.5,7.7,Moderate,<18,6-8 jam,2,Kesepian Sedang
USR00070,44,Female,TikTok,4.6,6.6,6.6,3.1,9.6,9.4,6.6,Moderate,36-45,>8 jam,2,Kesepian Ringan
USR00071,22,Male,YouTube,3.7,6.0,2.0,3.5,5.5,5.9,5.1,Severe,18-25,<6 jam,4,Kesepian Ringan
USR00072,38,Female,YouTube,0.5,5.7,3.4,4.2,3.5,7.8,7.1,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00073,43,Non-binary,Facebook,5.9,6.3,0.9,3.2,4.7,7.6,8.1,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00074,38,Female,Instagram,0.5,7.2,8.2,6.2,6.6,6.2,6.6,Moderate,36-45,6-8 jam,2,Kesepian Sedang
USR00075,15,Male,YouTube,5.3,6.1,4.9,5.0,6.3,5.2,6.3,High,<18,<6 jam,3,Kesepian Ringan
USR00076,36,Male,YouTube,3.8,5.5,5.1,4.6,5.7,7.9,4.1,Severe,36-45,6-8 jam,4,Kesepian Ringan
USR00077,19,Female,YouTube,3.2,4.9,3.7,3.1,5.9,5.1,6.1,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00078,18,Female,Twitter/X,6.2,8.1,1.0,4.8,4.6,5.0,5.2,High,<18,<6 jam,3,Kesepian Ringan
USR00079,16,Female,TikTok,2.8,6.4,2.4,7.0,3.2,7.3,6.2,High,<18,6-8 jam,3,Kesepian Sedang
USR00080,18,Female,YouTube,2.4,6.3,3.8,2.7,7.3,4.2,8.4,Low,<18,<6 jam,1,Kesepian Ringan
USR00081,42,Female,TikTok,5.2,4.1,8.7,3.1,4.7,6.1,6.1,High,36-45,6-8 jam,3,Kesepian Ringan
USR00082,42,Male,TikTok,5.0,9.0,3.8,3.0,6.8,6.4,4.4,Severe,36-45,6-8 jam,4,Kesepian Ringan
USR00083,16,Non-binary,Instagram,3.0,2.5,3.1,1.6,3.3,3.0,6.9,Moderate,<18,<6 jam,2,Tidak Kesepian
USR00084,34,Female,YouTube,2.9,5.8,2.9,3.4,7.9,5.5,7.5,Low,26-35,<6 jam,1,Kesepian Ringan
USR00085,42,Male,Facebook,2.9,2.9,1.5,6.1,3.2,6.4,5.6,High,36-45,6-8 jam,3,Kesepian Sedang
USR00086,19,Female,Instagram,5.2,5.6,1.7,0.6,4.3,7.1,6.6,Moderate,18-25,6-8 jam,2,Tidak Kesepian
USR00087,34,Male,Facebook,5.5,3.8,5.7,2.4,8.4,6.4,10.0,Low,26-35,6-8 jam,1,Tidak Kesepian
USR00088,16,Male,Instagram,6.3,7.4,7.4,3.4,3.4,8.4,4.4,Severe,<18,>8 jam,4,Kesepian Ringan
USR00089,42,Male,Snapchat,4.3,7.0,5.0,1.2,6.1,7.4,4.3,Severe,36-45,6-8 jam,4,Tidak Kesepian
USR00090,40,Female,TikTok,2.6,7.7,5.1,4.0,8.0,6.3,8.8,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00091,20,Male,TikTok,6.1,2.8,3.3,6.9,1.7,5.9,4.7,Severe,18-25,<6 jam,4,Kesepian Sedang
USR00092,24,Female,Facebook,10.2,4.8,6.4,1.8,5.5,6.2,5.0,High,18-25,6-8 jam,3,Tidak Kesepian
USR00093,44,Male,Instagram,8.0,6.5,4.3,3.5,8.9,5.1,5.6,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00094,32,Female,Instagram,2.3,4.1,6.6,1.2,8.7,7.3,5.3,High,26-35,6-8 jam,3,Tidak Kesepian
USR00095,17,Male,Facebook,6.2,5.9,5.8,7.1,3.9,5.8,8.0,Low,<18,<6 jam,1,Kesepian Sedang
USR00096,34,Female,Instagram,4.3,8.2,0.3,6.9,5.1,6.2,4.8,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00097,33,Non-binary,TikTok,4.3,8.0,3.7,4.3,5.8,3.9,4.5,Severe,26-35,<6 jam,4,Kesepian Ringan
USR00098,33,Male,Facebook,3.9,7.3,3.8,6.0,4.1,9.3,7.0,Moderate,26-35,>8 jam,2,Kesepian Sedang
USR00099,36,Male,Instagram,2.7,6.9,0.9,3.4,2.8,8.2,6.8,Moderate,36-45,>8 jam,2,Kesepian Ringan
USR00100,38,Female,Twitter/X,1.2,5.8,7.6,5.8,4.7,4.3,7.6,Low,36-45,<6 jam,1,Kesepian Sedang
USR00101,18,Female,Snapchat,5.5,5.5,7.8,3.6,5.6,6.0,7.4,Moderate,<18,<6 jam,2,Kesepian Ringan
USR00102,26,Male,Instagram,2.3,10.0,5.0,6.3,5.3,6.8,8.0,Low,26-35,6-8 jam,1,Kesepian Sedang
USR00103,41,Female,TikTok,3.3,1.0,1.4,4.4,3.0,6.1,6.8,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00104,30,Female,Instagram,3.7,3.8,2.1,6.0,2.5,6.1,6.5,High,26-35,6-8 jam,3,Kesepian Sedang
USR00105,31,Female,Facebook,4.7,5.7,0.1,6.3,3.2,5.2,4.3,Severe,26-35,<6 jam,4,Kesepian Sedang
USR00106,27,Male,Facebook,3.6,5.1,4.3,8.8,3.8,7.1,5.9,High,26-35,6-8 jam,3,Sangat Kesepian
USR00107,44,Female,Twitter/X,4.2,4.8,3.9,1.7,4.6,8.3,8.8,Low,36-45,>8 jam,1,Tidak Kesepian
USR00108,26,Female,Instagram,3.6,7.6,2.0,5.4,6.3,6.5,6.2,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00109,24,Male,YouTube,5.1,4.6,4.1,3.9,7.9,8.5,7.6,Low,18-25,>8 jam,1,Kesepian Ringan
USR00110,24,Male,YouTube,5.3,4.2,5.5,2.8,7.2,9.1,7.3,Moderate,18-25,>8 jam,2,Kesepian Ringan
USR00111,27,Female,TikTok,7.7,5.8,3.2,6.1,2.4,5.7,7.2,High,26-35,<6 jam,3,Kesepian Sedang
USR00112,18,Female,TikTok,5.8,0.5,5.3,3.9,6.4,5.9,7.7,Low,<18,<6 jam,1,Kesepian Ringan
USR00113,29,Female,Instagram,3.3,1.4,2.8,4.3,3.0,6.6,6.9,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00114,29,Female,Instagram,5.8,2.3,6.0,4.4,4.9,7.7,4.4,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00115,43,Male,Instagram,6.5,5.5,4.9,0.3,5.0,7.4,6.0,Moderate,36-45,6-8 jam,2,Tidak Kesepian
USR00116,35,Male,Twitter/X,3.3,6.7,8.5,3.3,3.7,5.3,7.8,Low,26-35,<6 jam,1,Kesepian Ringan
USR00117,36,Female,Facebook,3.3,5.8,3.0,2.4,6.5,8.0,7.9,Low,36-45,6-8 jam,1,Tidak Kesepian
USR00118,43,Female,Instagram,0.5,5.8,3.4,3.3,6.2,8.2,6.7,Moderate,36-45,>8 jam,2,Kesepian Ringan
USR00119,30,Male,Twitter/X,7.8,6.5,4.9,4.3,5.0,8.7,6.6,Moderate,26-35,>8 jam,2,Kesepian Ringan
USR00120,42,Non-binary,Instagram,4.9,7.0,3.7,5.2,7.5,6.8,4.3,Severe,36-45,6-8 jam,4,Kesepian Sedang
USR00121,18,Female,Instagram,7.5,6.1,8.7,5.0,5.1,5.8,7.1,Low,<18,<6 jam,1,Kesepian Ringan
USR00122,31,Male,TikTok,1.2,5.6,3.2,1.1,4.6,4.9,8.1,Low,26-35,<6 jam,1,Tidak Kesepian
USR00123,19,Female,Twitter/X,0.5,6.5,4.7,8.0,6.9,6.4,8.0,Low,18-25,6-8 jam,1,Sangat Kesepian
USR00124,26,Male,Instagram,5.2,4.0,5.8,1.4,5.6,4.7,6.3,Moderate,26-35,<6 jam,2,Tidak Kesepian
USR00125,23,Male,Instagram,2.7,6.1,5.1,5.8,6.2,5.8,6.2,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00126,41,Female,Facebook,4.9,4.9,4.8,4.7,5.3,7.8,8.2,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00127,41,Female,Instagram,2.9,8.5,4.4,6.7,4.5,7.0,5.2,High,36-45,6-8 jam,3,Kesepian Sedang
USR00128,37,Male,Facebook,6.3,6.5,3.4,6.1,6.2,6.5,6.1,Moderate,36-45,6-8 jam,2,Kesepian Sedang
USR00129,26,Male,Facebook,3.8,7.3,0.0,4.6,6.3,6.4,8.4,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00130,30,Female,YouTube,4.2,9.6,3.3,3.0,2.1,6.7,8.1,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00131,38,Male,TikTok,5.6,9.8,5.4,3.0,10.0,7.4,5.8,High,36-45,,3,Kesepian Ringan
USR00132,28,Male,YouTube,3.6,10.0,5.2,4.8,5.9,8.0,6.8,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00133,33,Male,Twitter/X,5.4,8.0,3.7,2.7,9.3,6.6,7.5,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00134,22,Female,Instagram,7.3,3.7,3.6,2.4,5.5,6.6,6.6,High,18-25,6-8 jam,3,Tidak Kesepian
USR00135,18,Male,Instagram,4.4,6.3,6.5,2.9,7.8,6.0,7.4,Low,<18,<6 jam,1,Kesepian Ringan
USR00136,44,Male,TikTok,5.1,2.9,10.0,2.9,5.2,8.3,6.6,Moderate,36-45,>8 jam,2,Kesepian Ringan
USR00137,27,Female,YouTube,5.7,2.8,3.6,3.5,6.9,7.3,7.4,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00138,27,Female,Snapchat,4.8,4.8,5.9,4.1,5.5,6.5,4.1,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00139,30,Male,Facebook,5.7,9.1,6.7,4.7,6.6,5.0,6.6,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00140,44,Male,YouTube,8.7,7.2,7.5,5.0,4.0,7.9,5.8,High,36-45,6-8 jam,3,Kesepian Ringan
USR00141,23,Female,Facebook,6.9,3.9,5.7,6.2,3.8,5.4,6.0,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00142,37,Non-binary,TikTok,1.5,7.7,6.7,4.1,7.5,6.8,6.1,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00143,21,Male,Facebook,0.5,5.8,6.2,4.7,8.0,5.8,6.4,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00144,36,Female,Twitter/X,2.7,4.8,3.7,5.7,6.4,8.6,6.6,Moderate,36-45,>8 jam,2,Kesepian Sedang
USR00145,21,Male,TikTok,0.5,7.9,5.2,3.1,7.5,4.2,5.7,High,18-25,<6 jam,3,Kesepian Ringan
USR00146,36,Female,YouTube,0.5,4.7,4.9,0.8,3.8,6.3,7.6,Low,36-45,6-8 jam,1,Tidak Kesepian
USR00147,27,Female,TikTok,2.3,0.9,6.7,4.3,2.0,6.4,6.3,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00148,42,Male,TikTok,2.5,3.3,0.2,5.8,3.5,7.2,7.8,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00149,22,Female,Snapchat,5.0,3.6,2.5,5.7,3.8,8.6,5.5,Moderate,18-25,>8 jam,2,Kesepian Sedang
USR00150,32,Female,Twitter/X,5.6,5.6,5.5,2.5,5.5,7.0,7.4,Moderate,26-35,,2,Tidak Kesepian
USR00151,25,Male,YouTube,9.3,5.7,1.7,2.0,6.7,5.5,5.8,High,18-25,<6 jam,3,Tidak Kesepian
USR00152,30,Male,Facebook,3.0,2.2,4.4,0.0,5.5,7.0,7.9,Low,26-35,6-8 jam,1,
USR00153,20,Non-binary,Snapchat,3.2,0.0,5.4,5.7,7.2,4.7,5.3,High,18-25,<6 jam,3,Kesepian Sedang
USR00154,19,Female,Instagram,5.0,6.9,3.2,6.3,5.4,5.6,6.9,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00155,35,Female,Instagram,6.9,1.3,4.2,2.9,1.8,5.8,7.3,Moderate,26-35,,2,Kesepian Ringan
USR00156,24,Female,Snapchat,4.0,4.5,4.4,4.0,2.9,5.9,7.9,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00157,24,Male,Instagram,2.6,4.4,6.8,8.1,7.6,6.5,7.4,Low,18-25,6-8 jam,1,Sangat Kesepian
USR00158,44,Male,TikTok,0.5,4.8,8.7,6.6,4.6,4.0,5.8,High,36-45,<6 jam,3,Kesepian Sedang
USR00159,41,Non-binary,YouTube,6.4,6.0,7.9,3.9,3.2,4.9,6.8,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00160,15,Male,Instagram,4.0,3.5,4.8,4.7,7.7,4.8,6.0,High,<18,<6 jam,3,Kesepian Ringan
USR00161,43,Non-binary,Snapchat,7.9,4.9,6.3,6.7,4.8,5.9,7.7,Low,36-45,<6 jam,1,Kesepian Sedang
USR00162,37,Female,TikTok,8.5,5.2,4.9,7.7,7.4,6.3,6.1,High,36-45,6-8 jam,3,Sangat Kesepian
USR00163,17,Female,YouTube,8.7,5.4,1.9,2.3,7.8,6.0,7.3,Moderate,<18,<6 jam,2,Tidak Kesepian
USR00164,27,Male,Facebook,5.6,7.8,3.3,4.8,6.7,7.2,5.6,High,26-35,6-8 jam,3,Kesepian Ringan
USR00165,21,Male,TikTok,6.5,6.6,1.2,5.0,3.1,8.1,3.2,Severe,18-25,>8 jam,4,Kesepian Ringan
USR00166,23,Male,Twitter/X,1.6,5.6,5.4,5.2,3.9,6.4,7.2,Low,18-25,6-8 jam,1,Kesepian Sedang
USR00167,17,Female,Snapchat,5.5,7.1,5.8,4.9,9.2,6.2,7.7,Low,<18,,1,Kesepian Ringan
USR00168,42,Male,Twitter/X,3.8,7.2,4.1,3.9,0.0,6.0,8.4,Low,36-45,<6 jam,1,Kesepian Ringan
USR00169,25,Female,YouTube,6.8,5.8,6.6,3.8,5.8,5.4,5.2,Severe,18-25,<6 jam,4,Kesepian Ringan
USR00170,29,Male,Twitter/X,3.4,2.1,0.2,2.3,9.7,6.0,8.5,Low,26-35,<6 jam,1,Tidak Kesepian
USR00171,35,Female,Instagram,4.0,6.3,1.2,5.5,8.4,7.6,7.5,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00172,32,Female,Snapchat,2.7,2.8,7.9,4.9,4.7,6.8,5.9,High,26-35,6-8 jam,3,Kesepian Ringan
USR00173,44,Female,YouTube,8.5,5.3,5.1,5.3,7.0,6.8,5.9,Severe,36-45,6-8 jam,4,Kesepian Sedang
USR00174,21,Male,Instagram,4.8,3.7,5.0,3.1,0.2,4.6,6.0,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00175,25,Male,TikTok,2.4,5.2,5.5,5.1,4.1,4.7,6.2,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00176,32,Male,YouTube,3.7,5.3,3.5,4.8,7.1,6.5,7.5,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00177,20,Male,Instagram,1.7,3.8,1.6,6.0,6.2,6.7,7.4,Moderate,18-25,6-8 jam,2,Kesepian Sedang
USR00178,30,Female,Instagram,7.2,2.2,2.0,3.8,5.3,7.9,5.4,High,26-35,6-8 jam,3,Kesepian Ringan
USR00179,32,Female,YouTube,7.2,10.0,6.1,3.2,7.0,6.9,5.5,High,26-35,6-8 jam,3,Kesepian Ringan
USR00180,37,Female,Snapchat,4.9,7.9,6.0,3.6,4.3,8.7,8.0,Low,36-45,>8 jam,1,Kesepian Ringan
USR00181,27,Male,TikTok,5.2,6.0,5.2,4.1,3.5,6.4,5.1,High,26-35,,3,Kesepian Ringan
USR00182,24,Male,Twitter/X,1.4,4.0,4.5,6.4,3.9,4.1,7.0,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00183,23,Non-binary,Instagram,7.9,7.2,6.2,2.8,2.5,6.2,4.4,Severe,18-25,6-8 jam,4,Kesepian Ringan
USR00184,43,Non-binary,Facebook,4.4,6.0,9.5,5.5,3.2,8.2,7.8,Moderate,36-45,>8 jam,2,Kesepian Sedang
USR00185,37,Male,Snapchat,9.0,5.9,8.3,6.0,4.0,5.8,4.3,Severe,36-45,<6 jam,4,Kesepian Sedang
USR00186,30,Female,YouTube,3.3,6.6,6.0,5.2,5.1,6.1,6.1,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00187,20,Female,TikTok,5.6,5.9,6.0,6.5,0.8,6.1,6.0,High,18-25,6-8 jam,3,Kesepian Sedang
USR00188,24,Male,Instagram,6.4,7.6,3.4,3.6,6.6,7.5,6.9,Moderate,18-25,6-8 jam,2,Kesepian Ringan
USR00189,38,Female,Facebook,6.3,9.4,4.8,4.7,5.4,7.0,6.7,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00190,36,Male,TikTok,4.3,0.1,1.4,3.7,4.1,6.7,6.5,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00191,19,Male,Facebook,6.9,1.5,2.4,1.0,3.9,6.1,5.2,Moderate,18-25,6-8 jam,2,Tidak Kesepian
USR00192,42,Male,Instagram,5.4,6.8,2.4,3.1,7.3,5.8,6.9,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00193,27,Female,TikTok,4.6,5.6,7.1,3.5,4.1,7.2,1.5,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00194,24,Male,Twitter/X,2.3,1.1,6.0,0.7,8.6,5.3,7.8,Low,18-25,<6 jam,1,Tidak Kesepian
USR00195,26,Female,Instagram,7.3,2.7,5.0,5.7,6.6,6.6,5.9,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00196,21,Male,Instagram,4.6,4.1,4.8,2.6,4.7,7.0,7.8,Low,18-25,6-8 jam,1,Kesepian Ringan
USR00197,39,Non-binary,TikTok,5.6,6.8,4.5,0.6,6.9,5.4,7.6,Moderate,36-45,<6 jam,2,Tidak Kesepian
USR00198,16,Female,Twitter/X,4.4,4.7,3.6,1.8,6.9,8.2,6.0,Moderate,<18,>8 jam,2,Tidak Kesepian
